rob,.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
1.6,60,100,0.15000000000000002,0.6,0.1,3,7,6,1.5853344415137403
1.6,60,100,0.15000000000000002,0.55,0.1,3,6,5,1.5873879634326136
1.6,60,100,0.15000000000000002,0.35,0.1,3,7,7,1.5883655752341814
1.6,60,100,0.15000000000000002,0.4,0.1,2,10,7,1.591746406032847
1.6,60,100,0.1,0.4,0.1,2,9,10,1.5926390494037552
1.6,60,100,0.15000000000000002,0.45,0.1,2,10,10,1.5928785380239479
1.6,60,100,0.15000000000000002,0.6,0.1,3,7,9,1.595596925008899
1.6,60,100,0.15000000000000002,0.3,0.1,2,10,7,1.602268896322689
1.6,60,100,0.15000000000000002,0.55,0.1,1,5,8,1.6026984126984127
1.6,60,100,0.15000000000000002,0.6,0.1,2,6,5,1.6039259050128616
1.6,60,100,0.15000000000000002,0.35,0.1,3,6,9,1.6089377651971994
1.6,60,100,0.15000000000000002,0.35,0.1,3,5,5,1.6120380233801286
1.6,60,100,0.1,0.4,0.1,2,7,7,1.6128130287221196
1.6,60,100,0.15000000000000002,0.4,0.1,2,9,10,1.6131024023843272
1.6,60,100,0.15000000000000002,0.45,0.1,2,10,5,1.6145437671347114
1.6,60,100,0.15000000000000002,0.5,0.1,1,7,7,1.6326690439190439
1.6,60,100,0.15000000000000002,0.3,0.1,1,6,10,1.6379988705028348
1.6,60,100,0.15000000000000002,0.4,0.1,1,8,8,1.6393217893217893
1.6,60,100,0.15000000000000002,0.35,0.1,3,8,8,1.6452713129164698
1.6,60,100,0.15000000000000002,0.35,0.1,2,7,9,1.648024319245908
1.6,60,100,0.15000000000000002,0.4,0.1,2,7,10,1.6498412698412699
1.7,60,100,0.15000000000000002,0.45,0.1,3,10,7,1.650320932072026
1.7,60,100,0.15000000000000002,0.3,0.1,3,6,10,1.6515354170677874
1.7,60,100,0.15000000000000002,0.45,0.1,3,10,9,1.652025044314414
1.7,60,100,0.15000000000000002,0.45,0.1,2,7,7,1.6539459726070465
1.7,60,100,0.15000000000000002,0.55,0.1,2,8,10,1.6561762181774566
1.7,60,100,0.15000000000000002,0.45,0.1,3,8,9,1.6655285957804933
1.7,60,100,0.15000000000000002,0.3,0.1,2,6,9,1.6662720057720057
1.7,60,100,0.15000000000000002,0.4,0.1,1,9,5,1.6666150325709148
1.7,60,100,0.15000000000000002,0.3,0.1,2,6,5,1.6679502401432227
1.7,60,100,0.15000000000000002,0.6,0.1,1,9,7,1.6681509729586652
1.7,60,100,0.15000000000000002,0.5,0.1,3,6,9,1.6694300635726502
1.7,60,100,0.15000000000000002,0.4,0.1,1,7,7,1.6780753968253967
1.7,60,100,0.15000000000000002,0.5,0.1,2,7,7,1.6784603174603174
1.7,60,100,0.15000000000000002,0.45,0.1,3,6,10,1.6815383146097407
1.7,60,100,0.15000000000000002,0.5,0.1,1,6,10,1.685368920295391
1.7,60,100,0.15000000000000002,0.4,0.1,3,9,8,1.685620427600544
1.7,60,100,0.15000000000000002,0.5,0.1,1,8,7,1.6972789115646258
1.7,60,100,0.15000000000000002,0.4,0.1,2,9,5,1.6983307783677912
1.7,60,100,0.15000000000000002,0.6,0.1,3,5,5,1.6995579209811442
1.7,60,100,0.15000000000000002,0.35,0.1,3,8,10,1.705041015861175
1.7,60,100,0.15000000000000002,0.45,0.1,3,7,5,1.7093786330628435
1.7,60,100,0.15000000000000002,0.4,0.1,3,8,10,1.7190725266734175
1.7,60,100,0.15000000000000002,0.35,0.1,3,8,7,1.7211506912914907
1.7,60,100,0.15000000000000002,0.3,0.1,2,6,8,1.7265853706432015
1.7,60,100,0.15000000000000002,0.4,0.1,2,10,8,1.7348092941891569
1.7,60,100,0.15000000000000002,0.35,0.1,1,6,6,1.7366669280405427
1.7,60,100,0.15000000000000002,0.4,0.1,1,6,5,1.7425232558588173
1.7,60,100,0.15000000000000002,0.3,0.1,1,7,6,1.7494642857142857
1.7,60,100,0.15000000000000002,0.3,0.1,3,5,10,1.7499328328309058
1.8,60,100,0.15000000000000002,0.5,0.1,3,10,8,1.7516289810387446
1.8,60,100,0.15000000000000002,0.6,0.1,3,10,7,1.7581426485108889
1.8,60,100,0.15000000000000002,0.55,0.1,2,7,5,1.759824985909082
1.8,60,100,0.15000000000000002,0.35,0.1,1,7,10,1.7634064624404524
1.8,60,100,0.15000000000000002,0.6,0.1,2,7,6,1.774755085681339
1.8,60,100,0.15000000000000002,0.3,0.1,2,8,9,1.7759524476773447
1.8,60,100,0.15000000000000002,0.55,0.1,2,8,9,1.7779603856022483
1.8,60,100,0.15000000000000002,0.45,0.1,3,7,10,1.7814543564086205
1.8,60,100,0.15000000000000002,0.6,0.1,3,9,8,1.785961170990656
1.8,60,100,0.15000000000000002,0.4,0.1,1,6,6,1.7865079365079366
