.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
60,100,0.1,0.6,0.1,3,9,9,0.9141260926749366
60,100,0.15000000000000002,0.35,0.1,1,5,6,2.0663690476190477
60,100,0.25,0.5,0.1,3,10,9,2.8275040062153005
60,100,0.1,0.45,0.1,3,6,6,0.9398732220160791
60,100,0.2,0.3,0.1,2,5,7,3.3653986889388796
60,100,0.2,0.35,0.1,1,6,6,3.0735138225419556
60,100,0.2,0.3,0.1,3,7,7,3.067990122168952
60,100,0.1,0.3,0.1,1,8,8,0.5285714285714286
60,100,0.1,0.5,0.1,3,6,6,0.8252655122655123
60,100,0.1,0.45,0.1,2,5,8,1.0270833333333333
60,100,0.3,0.5,0.1,3,10,6,5.159352608907031
60,100,0.25,0.55,0.1,2,10,6,4.339104629533197
60,100,0.15000000000000002,0.55,0.1,1,6,6,2.107162979735021
60,100,0.25,0.35,0.1,1,10,9,4.096085842759899
60,100,0.15000000000000002,0.4,0.1,1,9,7,1.8423843479648434
60,100,0.15000000000000002,0.35,0.1,3,5,8,1.4172411660298472
60,100,0.1,0.55,0.1,1,8,5,0.55
60,100,0.1,0.35,0.1,1,7,10,0.2907801418439716
60,100,0.2,0.35,0.1,1,7,10,2.3859743933405477
60,100,0.2,0.55,0.1,3,9,8,2.6093352936964345
60,100,0.1,0.45,0.1,2,6,9,0.8971582181259601
60,100,0.3,0.45,0.1,2,6,5,5.328502484565845
60,100,0.3,0.4,0.1,3,9,6,5.844430359031671
60,100,0.15000000000000002,0.5,0.1,2,8,9,1.9493006481081638
60,100,0.25,0.6,0.1,3,5,7,4.162776601652965
60,100,0.15000000000000002,0.3,0.1,1,8,9,2.2352585622993786
60,100,0.2,0.3,0.1,2,10,5,2.573588295768077
60,100,0.1,0.35,0.1,1,10,10,0.9899019961519961
60,100,0.1,0.3,0.1,1,6,7,1.1826338344195486
60,100,0.15000000000000002,0.55,0.1,1,6,7,2.06353478849367
60,100,0.25,0.5,0.1,2,8,8,3.3088864915030443
60,100,0.15000000000000002,0.35,0.1,3,8,8,1.6452713129164698
60,100,0.1,0.45,0.1,1,7,7,0.7146464646464646
60,100,0.1,0.35,0.1,3,7,10,0.7304486916974017
60,100,0.1,0.55,0.1,1,5,7,1.5186781609195403
60,100,0.2,0.5,0.1,2,10,10,2.0682442506877883
60,100,0.2,0.3,0.1,2,7,10,3.153973747216299
60,100,0.2,0.4,0.1,2,5,8,2.1041568306087703
60,100,0.15000000000000002,0.5,0.1,3,10,8,1.7516289810387446
60,100,0.1,0.3,0.1,3,9,7,0.5288150635372858
60,100,0.25,0.45,0.1,1,10,7,4.049873159620354
60,100,0.25,0.45,0.1,3,9,5,3.70833207378371
60,100,0.25,0.35,0.1,1,8,9,2.5485771529452164
60,100,0.25,0.35,0.1,3,10,7,4.02515523402191
60,100,0.25,0.4,0.1,2,10,9,3.196060325472627
60,100,0.15000000000000002,0.3,0.1,2,10,8,1.499576244416482
60,100,0.15000000000000002,0.45,0.1,2,7,10,0.7195939294623506
60,100,0.1,0.4,0.1,3,9,7,0.991552937462864
60,100,0.3,0.45,0.1,2,5,8,5.385632037498623
60,100,0.2,0.3,0.1,1,9,8,2.1516259896570844
60,100,0.25,0.6,0.1,2,7,6,3.7376066315796916
60,100,0.1,0.55,0.1,3,9,6,1.2709395641051988
60,100,0.25,0.4,0.1,3,5,10,3.227452686997935
60,100,0.2,0.6,0.1,3,9,8,2.3990119575349684
60,100,0.15000000000000002,0.4,0.1,2,8,7,1.9169564519874118
60,100,0.15000000000000002,0.55,0.1,1,5,8,1.6026984126984127
60,100,0.15000000000000002,0.55,0.1,2,7,8,0.9320512820512821
60,100,0.2,0.55,0.1,3,6,5,2.798893078066076
60,100,0.25,0.55,0.1,1,6,9,4.324594368971965
60,100,0.25,0.3,0.1,1,6,8,2.9612705726855086
60,100,0.3,0.4,0.1,2,9,8,4.933032547410789
60,100,0.25,0.3,0.1,3,8,8,3.263390729267795
60,100,0.15000000000000002,0.45,0.1,2,10,7,1.5035102283826194
60,100,0.3,0.4,0.1,3,5,6,5.166516086558113
60,100,0.2,0.6,0.1,2,8,10,2.4092202019512703
60,100,0.25,0.3,0.1,1,5,9,3.098885283045444
60,100,0.1,0.4,0.1,1,6,10,0.4738562091503268
60,100,0.3,0.5,0.1,1,10,7,5.834879966362812
60,100,0.1,0.4,0.1,2,7,10,0.7814407814407814
60,100,0.15000000000000002,0.4,0.1,2,9,7,2.120887927474147
60,100,0.15000000000000002,0.45,0.1,3,6,9,1.4115916098966947
60,100,0.3,0.3,0.1,3,8,9,4.609208195544548
60,100,0.1,0.35,0.1,1,5,10,1.0695555833055834
60,100,0.1,0.3,0.1,1,5,10,0.28125
60,100,0.2,0.3,0.1,1,8,5,2.5362274191763468
60,100,0.15000000000000002,0.3,0.1,1,10,6,1.0292397660818713
60,100,0.1,0.55,0.1,2,8,10,0.56494708994709
60,100,0.1,0.55,0.1,3,5,9,0.8508803418803419
60,100,0.25,0.5,0.1,1,7,6,4.2306581986252
60,100,0.3,0.3,0.1,2,9,10,5.009826148964861
60,100,0.1,0.3,0.1,2,5,8,0.8813218390804598
60,100,0.3,0.6,0.1,1,7,5,4.82695840350662
